"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 02; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"NJ0000159","110000607727","2851","","E I DUPONT DE NEMOURS & CO - PARLIN PLANT","PARLIN","NJ","08859","MIDDLESEX","34023","02","NON-POTW","NPDES Individual Permit","Non-Major","020301050405",,1.31,"40.452134","-74.330899","Phosphorus",0,204.7860899999999962620455,,0,0,"DMR Data","DMR Data","Y",""
2020,"NJ0000221","110000322259","2911","","CHEVRON  PRODUCTS  CO - PERTH AMBOY REFINERY","PERTH AMBOY","NJ","08861","MIDDLESEX","34023","02","NON-POTW","NPDES Individual Permit","Major","020301040201",,1.2,"40.536971","-74.264946","Nitrogen",15862.3614945745001616058115800521081877,151.83,1321.863457881208346800484298337675682308,,11.10175768926523637942934104640553800973,"Modeled","DMR Data","Y",""
2020,"NJ0000221","110000322259","2911","","CHEVRON  PRODUCTS  CO - PERTH AMBOY REFINERY","PERTH AMBOY","NJ","08861","MIDDLESEX","34023","02","NON-POTW","NPDES Individual Permit","Major","020301040201",,1.2,"40.536971","-74.264946","Phosphorus",3215.79172799320907490950306675650529115,151.83,267.982643999434089575791922229708774262,,2.81975705696390558247864868738197020885,"Modeled","DMR Data","Y",""
2020,"NJ0000248","110000318004","2819","","ICL PERFORMANCE PRODUCTS LP","CARTERET","NJ","07008-3504","MIDDLESEX","34023","02","NON-POTW","NPDES Individual Permit","Non-Major","020301040201",,3.74,"40.582593","-74.213691","Nitrogen",42.78770542425683168404733647558586762083,2.668498,3.56564211868806930700394470629882230173,,1.96261984681375581927336042109781779838,"Modeled","DMR Data","Y",""
2020,"NJ0000248","110000318004","2819","","ICL PERFORMANCE PRODUCTS LP","CARTERET","NJ","07008-3504","MIDDLESEX","34023","02","NON-POTW","NPDES Individual Permit","Non-Major","020301040201",,3.74,"40.582593","-74.213691","Phosphorus",10409.6286,2.668498,5834.98125,0,494.967465082031600794266341866447886947,"DMR Data","DMR Data","Y",""
2020,"NJ0000272","110000802276","8731","","DAVID SARNOFF RESEARCH CENTER","PRINCETON","NJ","08540","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Non-Major","020301050307",,.096,"40.329139","-74.626507","Phosphorus",5.8551003756,15.1179,10.514404963125,0,.0857142857142857142857142857142857142857,"DMR Data","DMR Data","Y","Y"
2020,"NJ0000795","110012648670","2834","325412","BRISTOL-MYERS SQUIBB COMPANY","PENNINGTON","NJ","08534-2130","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Non-Major","020301050302",,,"40.344083","-74.766944","Nitrogen",187.206337308116712622493185550453474308,7.725,15.60052810900972605187443212920445619233,,2.88619484897703127029983719773407837864,"Modeled","DMR Data","Y",""
2020,"NJ0000795","110012648670","2834","325412","BRISTOL-MYERS SQUIBB COMPANY","PENNINGTON","NJ","08534-2130","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Non-Major","020301050302",,,"40.344083","-74.766944","Phosphorus",11.73501,7.725,,0,.1928859646372014595393775335236728248358,"DMR Data","DMR Data","Y",""
2020,"NJ0000809","110009721195","8731","","HOPEWELL BUSINESS CAMPUS","HOPEWELL BORO","NJ","08540","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Major","020301050302",,.08,"40.355828","-74.7309","Phosphorus",8.1485775,3.959,99.26175,0,.2145217667014232403928573017080282602083,"DMR Data","DMR Data","Y","Y"
2020,"NJ0000876","110000615683","2892","","HERCULES INC","KENVIL","NJ","07847-2639","MORRIS","34027","02","NON-POTW","NPDES Individual Permit","Non-Major","020301050201",,.135,"40.895258","-74.633767","Nitrogen",0,0,,,1.3225,"Modeled","DMR Data","Y","Y"
