"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 04; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"AL0000019","110020837601","9711","","REDSTONE ARSENAL","REDSTONE ARSENAL","AL","35898","MADISON","01089","04","NON-POTW","NPDES Individual Permit","Major","060300020505",,,"34.676233","-86.679708","Nitrogen",618710.0269395539373676372397061122047599,9773.026,51559.1689116294947806364366421760170633,,2.55045653342037833277525988359601766334,"Modeled","DMR Data","Y","Y"
2020,"AL0000019","110020837601","9711","","REDSTONE ARSENAL","REDSTONE ARSENAL","AL","35898","MADISON","01089","04","NON-POTW","NPDES Individual Permit","Major","060300020505",,,"34.676233","-86.679708","Phosphorus",.3830779575,9773.026,,0,.005666666666666666666666666666666666666667,"DMR Data","DMR Data","Y","Y"
2020,"AL0000035","110000516683","3353","","WISE ALLOYS LLC","MUSCLE SHOALS","AL","35661","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Major","060300050802",,,"34.766792","-87.601169","Nitrogen",6117.274112922,2780.6891,,0,.41857142857142857142857142857142857143,"DMR Data","DMR Data","Y",""
2020,"AL0000035","110000516683","3353","","WISE ALLOYS LLC","MUSCLE SHOALS","AL","35661","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Major","060300050802",,,"34.766792","-87.601169","Phosphorus",0,2780.6891,,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000060","110006793185","1422","","C A LANGFORD CO INC","GUNTERSVILLE","AL","35976-6016","MARSHALL","01095","04","NON-POTW","NPDES Individual Permit","Non-Major","060300010904",,,"34.33707","-86.36941","Nitrogen",2398.844184975,91.4425,,0,.793125,"DMR Data","DMR Data","Y","Y"
2020,"AL0000060","110006793185","1422","","C A LANGFORD CO INC","GUNTERSVILLE","AL","35976-6016","MARSHALL","01095","04","NON-POTW","NPDES Individual Permit","Non-Major","060300010904",,,"34.33707","-86.36941","Phosphorus",54.156707325,91.4425,,0,.0483333333333333333333333333333333333334,"DMR Data","DMR Data","Y","Y"
2020,"AL0000108","110056961417","2869","","BP AMOCO CHEMICALS","DECATUR","AL","35601","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021105",,,"34.6415","-87.0589","Nitrogen",99731.355055605,2737.781,,0,4.14083333333333333333333333333333333333,"DMR Data","DMR Data","Y","Y"
2020,"AL0000108","110056961417","2869","","BP AMOCO CHEMICALS","DECATUR","AL","35601","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021105",,,"34.6415","-87.0589","Phosphorus",21577.411612764,2737.781,,0,.991,"DMR Data","DMR Data","Y","Y"
2020,"AL0000116","110007235269","2824","","ASCEND PERFORMANCE MATERIALS","DECATUR","AL","35601-8900","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021102",,,"34.633889","-87.024444","Nitrogen",288808.189343214975,28577.075,,0,.8005,"DMR Data","DMR Data","Y","Y"
2020,"AL0000116","110007235269","2824","","ASCEND PERFORMANCE MATERIALS","DECATUR","AL","35601-8900","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021102",,,"34.633889","-87.024444","Phosphorus",776826.171766575,28577.075,,0,235.166666666666666666666666666666666667,"DMR Data","DMR Data","Y","Y"
2020,"AL0000205","110000367567","2821","","3M COMPANY","DECATUR","AL","35601-8807","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021102",,,"34.641667","-87.038611","Nitrogen",25506.69481886085,5687.417,,0,.652125,"DMR Data","DMR Data","Y","Y"
2020,"AL0000205","110000367567","2821","","3M COMPANY","DECATUR","AL","35601-8807","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Major","060300021102",,,"34.641667","-87.038611","Phosphorus",1053.878282583525,5687.417,,0,.394875,"DMR Data","DMR Data","Y","Y"
2020,"AL0000213","110000367736","2812","","OCCIDENTAL CHEMICAL CORPORATION - MUSCLE SHOALS PLANT","MUSCLE SHOALS","AL","35661","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300050802",,,"34.772461","-87.628159","Nitrogen",0,6692.71,,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000213","110000367736","2812","","OCCIDENTAL CHEMICAL CORPORATION - MUSCLE SHOALS PLANT","MUSCLE SHOALS","AL","35661","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300050802",,,"34.772461","-87.628159","Phosphorus",0,6692.71,,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000221","110000601947","9661","","MARSHALL SPACE FLIGHT CENTER","HUNTSVILLE","AL","35812","MADISON","01089","04","FEDERAL","NPDES Individual Permit","Non-Major","060300020505",,,"34.631111","-86.669444","Phosphorus",0,9355.7519,,0,0,"DMR Data","DMR Data","Y","Y"
2020,"AL0000264","110006549351","1422","","VULCAN CONSTRUCTION MATERIALS - TUSCUMBIA QUARRY","TUSCUMBIA","AL","35674","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300050703",,,"34.704722","-87.731667","Nitrogen",3.627197426475,2.072,,0,.2685,"DMR Data","DMR Data","",""
2020,"AL0000264","110006549351","1422","","VULCAN CONSTRUCTION MATERIALS - TUSCUMBIA QUARRY","TUSCUMBIA","AL","35674","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300050703",,,"34.704722","-87.731667","Phosphorus",.3632480397,2.072,,0,.09,"DMR Data","DMR Data","",""
2020,"AL0000345","110001147394","3399","","US ARMY GARRISON-REDSTONE","HUNTSVILLE","AL","35898","MADISON","01089","04","NON-POTW","NPDES Individual Permit","Non-Major","060300020505",,,"34.646944","-86.673055","Nitrogen",110.4453904719186,7.136995,,0,2.22475,"DMR Data","DMR Data","Y",""
2020,"AL0000361","110000367503","2296","","HYOSUNG USA (FORMERLY GOODYEAR)","DECATUR","AL","35601-3424","MORGAN","01103","04","NON-POTW","NPDES Individual Permit","Non-Major","060300021102",,,"34.59941","-86.96298","Phosphorus",107.634390192,15.938,,0,.4785666666666666666666666666666666666667,"DMR Data","DMR Data","Y","Y"
2020,"AL0000396","110064650328","2621","","COURTLAND","COURTLAND","AL","35618","LAWRENCE","01079","04","NON-POTW","NPDES Individual Permit","Major","060300050105",,,"34.732508","-87.31781","Nitrogen",17060.072211,692.9,1421.67268425,,3.24543736586850267614913482471555818088,"Modeled","DMR Data","Y","Y"
2020,"AL0000396","110064650328","2621","","COURTLAND","COURTLAND","AL","35618","LAWRENCE","01079","04","NON-POTW","NPDES Individual Permit","Major","060300050105",,,"34.732508","-87.31781","Phosphorus",20259.13536927,692.9,,0,3.27516129032258064516129032258064516129,"DMR Data","DMR Data","Y","Y"
2020,"AL0000418","110000589373","2873","","CHEROKEE NITROGEN","CHEROKEE","AL","35616","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300051002",,,"34.80302","-87.93974","Nitrogen",103815.2938685290257338120699696826,6772.9045,17763.3333333333320286165,0,3.26685378946272011555200828750866046541,"DMR Data","DMR Data","Y","Y"
2020,"AL0000418","110000589373","2873","","CHEROKEE NITROGEN","CHEROKEE","AL","35616","COLBERT","01033","04","NON-POTW","NPDES Individual Permit","Non-Major","060300051002",,,"34.80302","-87.93974","Phosphorus",51342.8258562158176988103905105173564073,6772.9045,4278.568821351318141567532542543113033943,,1.01500291444363579556876948465133597036,"Modeled","DMR Data","Y","Y"
2020,"AL0000710","110000369459","2421","","SCOTCH GULF LUMBER LLC","MOBILE","AL","36610-4704","MOBILE","01097","04","NON-POTW","NPDES Individual Permit","Non-Major","031602040504",,,"30.725047","-88.075076","Nitrogen",0,0,,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000710","110000369459","2421","","SCOTCH GULF LUMBER LLC","MOBILE","AL","36610-4704","MOBILE","01097","04","NON-POTW","NPDES Individual Permit","Non-Major","031602040504",,,"30.725047","-88.075076","Phosphorus",0,0,,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000779","110012508599","2421","","TR MILLER MILL COMPANY INC","BREWTON","AL","36426","ESCAMBIA","01053","04","NON-POTW","NPDES Individual Permit","Non-Major","031403040404",,,"31.1048","-87.0669","Nitrogen",0,312.444,1970.99999999999985523005,0,0,"DMR Data","DMR Data","Y",""
2020,"AL0000817","110010380097","2631","","MEADWESTVACO COATED BOARD, LLC","PHENIX CITY","AL","36869","RUSSELL","01113","04","NON-POTW","NPDES Individual Permit","Major","031300030804",,,"32.177396","-85.025501","Nitrogen",265987.503466587,12951.53,,0,1.88642857142857142857142857142857142857,"DMR Data","DMR Data","",""
2020,"AL0000817","110010380097","2631","","MEADWESTVACO COATED BOARD, LLC","PHENIX CITY","AL","36869","RUSSELL","01113","04","NON-POTW","NPDES Individual Permit","Major","031300030804",,,"32.177396","-85.025501","Phosphorus",42926.621122854,12951.53,,0,.611,"DMR Data","DMR Data","",""
2020,"AL0000841","110000369226","2861","","PLASMINE TECHNOLOGY INC","BAY MINETTE","AL","36507-2975","BALDWIN","01003","04","NON-POTW","NPDES Individual Permit","Non-Major","031401060503",,,"30.88145","-87.770927","Phosphorus",504.1444254406875,29.4947,42.012035453390625,,2.07,"Modeled","DMR Data","",""
2020,"AL0000868","110056954880","2821","","ARCLIN USA LLC","ANDALUSIA","AL","36420-1224","COVINGTON","01039","04","NON-POTW","NPDES Individual Permit","Major","031403010501",,,"31.341944","-86.524167","Nitrogen",198.9396442845,8.3579,,0,10.9,"DMR Data","DMR Data","",""
2020,"AL0000868","110056954880","2821","","ARCLIN USA LLC","ANDALUSIA","AL","36420-1224","COVINGTON","01039","04","NON-POTW","NPDES Individual Permit","Major","031403010501",,,"31.341944","-86.524167","Phosphorus",15.18620639914005137952002751331237407767,8.3579,1.26551719992833761496000229277603117314,,.229275111097567295113311296710494970969,"Modeled","DMR Data","",""
2020,"AL0000973","110000367102","2911","","HUNT REFINING CO - TUSCALOOSA REFINERY","TUSCALOOSA","AL","35401","TUSCALOOSA COUNTY","01125","04","NON-POTW","NPDES Individual Permit","Major","031601130202",,,"33.2003","-87.607","Nitrogen",112978.8185247537486116481,1419.5077,16274.0833333333321380019125,0,20.16275858353043317225412812845641988983,"DMR Data","DMR Data","",""
2020,"AL0000973","110000367102","2911","","HUNT REFINING CO - TUSCALOOSA REFINERY","TUSCALOOSA","AL","35401","TUSCALOOSA COUNTY","01125","04","NON-POTW","NPDES Individual Permit","Major","031601130202",,,"33.2003","-87.607","Phosphorus",6216.89097834,1419.5077,,0,1.2,"DMR Data","DMR Data","",""
2020,"AL0001121","110000608655","2491","","BROWN WOOD PRESERVING COMPANY","NORTHPORT","AL","35475","TUSCALOOSA","01125","04","NON-POTW","NPDES Individual Permit","Non-Major","031601070206",,,"33.39562","-87.75339","Nitrogen",1379.16744462,177.1,,0,.9433333333333333333333333333333333333333,"DMR Data","DMR Data","",""
2020,"AL0001201","110000368806","2869","","SOLUTIA INC ANNISTON PLANT","ANNISTON","AL","36201","CALHOUN","01015","04","NON-POTW","NPDES Individual Permit","Non-Major","031501060505",,,"33.65099","-85.85197","Nitrogen",1873.697859793532479400096995282694934658,162.866666666666666666666666666666666667,156.141488316127706616674749606891244555,,1.8005546676661175218287090633645155925,"Modeled","DMR Data","",""
2020,"AL0001201","110000368806","2869","","SOLUTIA INC ANNISTON PLANT","ANNISTON","AL","36201","CALHOUN","01015","04","NON-POTW","NPDES Individual Permit","Non-Major","031501060505",,,"33.65099","-85.85197","Phosphorus",370.703669856635124865926670609107037256,162.866666666666666666666666666666666667,30.89197248805292707216055588409225310467,,.387060414754857082303289050174222822645,"Modeled","DMR Data","",""
2020,"AL0001449","110000366112","2015","","TYSON FOODS INC BLOUNTSVILLE PROCESSING PLANT","BLOUNTSVILLE","AL","35031-4567","BLOUNT","01009","04","NON-POTW","NPDES Individual Permit","Major","031601110202",,,"34.049858","-86.577483","Nitrogen",181348.6699512844363636363636363636363636,362.236,22786.1884401422727272727272727272727273,0,71.042671370967741935483870967741935484,"DMR Data","DMR Data","Y",""
2020,"AL0001449","110000366112","2015","","TYSON FOODS INC BLOUNTSVILLE PROCESSING PLANT","BLOUNTSVILLE","AL","35031-4567","BLOUNT","01009","04","NON-POTW","NPDES Individual Permit","Major","031601110202",,,"34.049858","-86.577483","Phosphorus",3213.034993630908899769648436363636363637,362.236,234.181818181818164617527272727272727273,0,1.44841459114508014867372647392452988044,"DMR Data","DMR Data","Y",""
2020,"AL0001554","110013834770","3312","","SMI STEEL, INC. DBA CMC STEEL ALABAMA","BIRMINGHAM","AL","35212-3525","JEFFERSON","01073","04","NON-POTW","NPDES Individual Permit","Major","031601110408",,,"33.534104","-86.757929","Nitrogen",19.45463932633669327071766451612903225808,246.2905,1.62121994386139110589313870967741935484,,1.53458444407435846480163634039289214642,"Modeled","DMR Data","",""
2020,"AL0001554","110013834770","3312","","SMI STEEL, INC. DBA CMC STEEL ALABAMA","BIRMINGHAM","AL","35212-3525","JEFFERSON","01073","04","NON-POTW","NPDES Individual Permit","Major","031601110408",,,"33.534104","-86.757929","Phosphorus",0,246.2905,,0,0,"DMR Data","DMR Data","",""
